NDVI,NDWI,.geo
0.2737819025522042,-0.3778823529411764,"{""type"":""Point"",""coordinates"":[79.21382523676492,17.126362905046275]}"
0.1958537915984724,-0.3149370125974805,"{""type"":""Point"",""coordinates"":[79.23897966614477,17.14110619718284]}"
0.3218660411780036,-0.4219231847490888,"{""type"":""Point"",""coordinates"":[79.24022556524258,17.058051272809784]}"
0.2859550561797753,-0.3370327102803738,"{""type"":""Point"",""coordinates"":[79.2865118689969,17.070994342947053]}"
0.328537170263789,-0.408404366681621,"{""type"":""Point"",""coordinates"":[79.21929942333747,17.12579206855975]}"
0.757631822386679,-0.6824085005903188,"{""type"":""Point"",""coordinates"":[79.2499332480494,17.081026769488968]}"
0.1278945493409334,-0.1839940164547494,"{""type"":""Point"",""coordinates"":[79.2611723152714,17.075703669021042]}"
0.3052601729760386,-0.4283941039565554,"{""type"":""Point"",""coordinates"":[79.23382610764791,17.122579009147717]}"
0.6836606016933886,-0.5757882313269264,"{""type"":""Point"",""coordinates"":[79.27747649963923,16.996769934829768]}"
0.807149978635522,-0.6980728051391863,"{""type"":""Point"",""coordinates"":[79.32675837499539,17.07062699844798]}"
0.71682228685137,-0.6354622338874307,"{""type"":""Point"",""coordinates"":[79.28186268249178,16.99515761913324]}"
0.0822637106184364,-0.1468315301391035,"{""type"":""Point"",""coordinates"":[79.26411473194959,17.068521584029995]}"
0.871313672922252,-0.7480591034310042,"{""type"":""Point"",""coordinates"":[79.21544308160951,16.986404015852358]}"
0.6522845869924908,-0.6197130380536494,"{""type"":""Point"",""coordinates"":[79.33339058738785,17.001368153357472]}"
0.7389368944749934,-0.6730066759037662,"{""type"":""Point"",""coordinates"":[79.26944893019466,17.14016665504377]}"
0.8434760831455046,-0.7295582706766918,"{""type"":""Point"",""coordinates"":[79.31538579693115,17.00316465274221]}"
0.7964016607719514,-0.6801380698978858,"{""type"":""Point"",""coordinates"":[79.29011099483075,16.984054665233298]}"
0.8545319832057298,-0.7351819757365684,"{""type"":""Point"",""coordinates"":[79.35676726781837,17.054454828087472]}"
0.775645548186821,-0.7037638776062821,"{""type"":""Point"",""coordinates"":[79.24684887515242,17.008898106979963]}"
0.3193461819956086,-0.3698074974670719,"{""type"":""Point"",""coordinates"":[79.28836273287754,17.061978101030384]}"
0.4507569591404851,-0.4624220544798162,"{""type"":""Point"",""coordinates"":[79.26777591330936,17.030647584272042]}"
0.5466365178066704,-0.3471196454948301,"{""type"":""Point"",""coordinates"":[79.29675765684247,16.99561981032216]}"
0.2572227399813607,-0.3775848863926474,"{""type"":""Point"",""coordinates"":[79.34270183765551,17.017074182221744]}"
0.2773666751722378,-0.4298771779491573,"{""type"":""Point"",""coordinates"":[79.21494056273106,17.081913939005645]}"
0.7456926257753274,-0.6785950960901259,"{""type"":""Point"",""coordinates"":[79.2791284346555,17.0433882209367]}"
0.3324921135646688,-0.1162790697674418,"{""type"":""Point"",""coordinates"":[79.22717223876843,17.031033207324136]}"
0.5626657238819162,-0.5379262352122477,"{""type"":""Point"",""coordinates"":[79.2695498891962,17.12170805254037]}"
0.2310590547956425,-0.3894795229730979,"{""type"":""Point"",""coordinates"":[79.28343840744984,17.131303807997384]}"
0.6234167438986716,-0.5291721227993598,"{""type"":""Point"",""coordinates"":[79.23505167553283,16.982244492448533]}"
0.7778443113772455,-0.6722050126724867,"{""type"":""Point"",""coordinates"":[79.3286984330735,17.08426294740311]}"
0.7258914728682171,-0.6182584678005524,"{""type"":""Point"",""coordinates"":[79.29855935142439,17.077456919443268]}"
0.8432846609801937,-0.7218095881161377,"{""type"":""Point"",""coordinates"":[79.24355038503047,16.998246142076447]}"
0.2317757009345794,-0.3833639464707425,"{""type"":""Point"",""coordinates"":[79.3222027674844,17.02891719199715]}"
0.4847968864023352,-0.4924205378973105,"{""type"":""Point"",""coordinates"":[79.31584037485071,16.98408489889003]}"
0.792059925093633,-0.6857384441939121,"{""type"":""Point"",""coordinates"":[79.26785896179089,17.133149436217217]}"
0.833046699298849,-0.6988719960765081,"{""type"":""Point"",""coordinates"":[79.34649753937815,17.026990249185395]}"
